,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
41,0.8,0.568,9,-5.616,1,0.0893,0.093,0.0,0.207,0.767,83.935,5NHX9nf376Qlt5fsU84SQb
42,0.494,0.173,7,-10.342,1,0.0349,0.966,3.85e-06,0.0993,0.227,63.233,6uYBDTTolezL3ne2HsXDm0
43,0.411,0.241,10,-8.625,1,0.0379,0.923,0.0,0.105,0.251,151.484,1bUacg9mWo407qZvsknlFd
44,0.46,0.615,5,-3.472,0,0.0331,0.0633,0.0,0.109,0.414,167.927,3Pqp7yCHo6hbxMS0ZGc93N
45,0.702,0.508,8,-7.105,1,0.035,0.144,0.0,0.108,0.143,82.009,1eyek0KJEh2v5HQ9uQSybb
46,0.473,0.659,8,-5.233,1,0.0407,0.271,0.0,0.0323,0.514,71.995,0a6dOdshuoE6H5nRErl5Yb
47,0.326,0.51,3,-5.789,1,0.0372,0.487,0.0,0.0727,0.296,148.694,4blIJNUxmJGvvQJJZxXB8S
48,0.651,0.713,10,-6.572,1,0.0349,0.518,1.09e-05,0.107,0.698,104.041,3kSANhW7k6lMMhYgGH33rK
49,0.536,0.296,5,-7.451,1,0.0346,0.892,0.0,0.0873,0.151,122.907,6TBJkXHPhu3EsMk1bshwuI
50,0.588,0.452,7,-7.778,1,0.039,0.724,0.0,0.107,0.267,83.936,0JL7DoEqAUcOntWmBuOSdh
51,0.366,0.385,10,-7.952,1,0.0336,0.816,0.0,0.0872,0.244,139.982,4YTvuLSqKshDOJvwyDmAYS
52,0.457,0.499,4,-6.655,1,0.0318,0.422,0.0,0.331,0.164,120.18,10PzmnIzAwd4vRRDUamEwr
53,0.62,0.665,0,-6.112,0,0.0344,0.147,0.00712,0.123,0.195,142.996,1qOla2w5bk6jb5C4RCDZyE
54,0.788,0.577,6,-5.205,1,0.214,0.74,0.0,0.412,0.816,80.0,3MEcq4JRbQImU04hBtyM0w
55,0.68,0.528,5,-6.444,1,0.0928,0.529,0.0,0.184,0.274,134.014,6MPAgclYe1F9LSYXxOuoBC
56,0.496,0.491,9,-8.628,1,0.287,0.55,0.0,0.123,0.5,176.92,1E8Cztx0OIj4zm1IZh2XXj
57,0.59,0.294,9,-8.125,1,0.0654,0.854,0.0,0.0873,0.461,87.895,1lhm29o3syw122xynSKaAK
58,0.547,0.341,3,-5.537,1,0.0297,0.82,0.0,0.115,0.398,82.111,2TkHnzYwHEoTVgoyqf6UJ2
59,0.413,0.232,9,-11.87,1,0.0371,0.928,3.15e-05,0.155,0.134,93.661,72cq3rZCIEYaq1TM8y5LBQ
60,0.632,0.531,8,-5.669,1,0.0333,0.249,0.0,0.346,0.511,95.061,6GS3lnAVy5w6AHWEKYzYeS
61,0.821,0.769,6,-5.379,0,0.0967,0.174,0.00105,0.0842,0.661,148.017,5rZkRaL4AjykFgw49KULyo
62,0.738,0.498,4,-6.373,1,0.155,0.237,0.0,0.164,0.809,95.042,6pm3SR1vvrV54AOJWsN7y7
63,0.755,0.591,9,-6.655,1,0.0454,0.535,0.0,0.0862,0.873,103.996,2TfsNTyC4uuamXBZJnU0ga
64,0.544,0.672,9,-4.41,0,0.559,0.514,0.0,0.0935,0.469,181.157,6bXqLHhpWoGzPXjm8e9uBY
65,0.638,0.399,7,-8.229,1,0.0289,0.74,9.28e-06,0.151,0.172,132.041,3SiTPm2IOaCz1cWFv6LSjn
66,0.502,0.858,4,-3.813,0,0.242,0.154,0.0,0.113,0.317,187.79,4lLtcSEIGqO7pvXCUvDtIU
67,0.648,0.736,5,-4.467,0,0.285,0.709,0.0,0.0845,0.319,75.032,48BG1jM0IvYCXcB0rGkUU2
68,0.516,0.608,6,-5.326,1,0.456,0.452,0.0,0.28,0.481,180.131,4ilsJT4GNG9dYidf5qcBVb
69,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,3CYH422oy1cZNoo0GTG1TK
70,0.656,0.789,3,-3.489,0,0.039,0.0213,0.0,0.074,0.497,134.009,7Gj8f0zhVvSveNuXRkUGhN
71,0.503,0.581,6,-7.007,1,0.0881,0.21,0.000708,0.257,0.633,94.555,6ZzYETKetIfNUsZUb23jgG
72,0.682,0.65,5,-7.231,1,0.0457,0.216,9.48e-06,0.0947,0.378,109.986,6A1GBCMwbfhkB9e1thR8a8
73,0.385,0.62,1,-8.316,0,0.147,0.0815,0.0,0.352,0.415,75.564,7i1pavASRUZk62ejaUIESa
74,0.623,0.493,5,-7.727,0,0.0338,0.0632,0.0,0.104,0.594,81.019,1sYSP7gKa5kdKIfhANfori
75,0.612,0.519,9,-5.568,1,0.0391,0.478,0.0,0.189,0.537,80.882,6SLMyJPRTh2zCX9SJJHTZQ
76,0.523,0.389,5,-5.903,1,0.152,0.623,0.0,0.236,0.487,173.378,3JISGU3qHjPaBdWSh6ZJdq
